	station46	station49	station121	station45	station50	station126
otu_1	160143	191068	63806	165918	48066	29592
otu_2	505	651	322	1079	446	690
otu_3	14895	10798	84622	37216	63754	51660
otu_4	172454	20426	38846	188886	31332	467641
otu_5	36236	12180	126136	70310	37317	213247
otu_6	114638	64892	12028	187475	116723	7397
otu_7	37679	7225	42490	202271	471639	31561
otu_8	500542	54	220	3086208	58127	66636
otu_9	367	699	384334	792	11958	45703
otu_10	519567	95694	2166	516003	283444	13292
otu_11	102421	23643	152768	102626	48264	25125
otu_12	548	33	25	883	24	269
otu_13	243	376	37140	3074	208239	797
otu_14	222	811	83220	670	2932	23587
otu_15	0	2	0	0	0	1
otu_16	116195	12007	27670	28908	2067	5285
otu_17	145782	11646	10142	118963	41430	35627
otu_18	101500	17850	68	17699	330	3495
otu_19	1668	351	23	16	28	18793
otu_20	51818	35403	4059	74474	4255	15212
otu_21	50	89	378	116	77	688
otu_22	24049	6847	10227	77861	13112	23814
otu_23	0	0	0	0	0	1
otu_24	61467	9413	18327	95420	10418	69997
otu_25	56	253	336	169	88	57
otu_26	41113	7437	12155	65464	17848	18182
otu_27	21779	3093	1	81828	893	2464
otu_28	716	822	91895	615	2243	3455
otu_29	73667	7335	2134	47231	3345	11246
otu_30	362487	712	2418	25546	3673	47940
otu_31	59	9	13	2	2	264
otu_32	0	856	0	0	26	60
otu_33	475422	52987	25	56828	2448	2115
otu_34	5	33	158	11090	307	1243
otu_35	46873	23992	3200	72948	4826	5819
otu_37	23	154	85	290	4495	310
otu_38	39143	8637	47255	71476	15229	100184
otu_39	8	76	18882	37	14284	129940
otu_40	361	329	4211	502739	361	236
otu_41	0	2955	21342	35	261	1195
otu_42	48	631	96733	371	6276	1841
otu_43	104725	7148	5329	101883	124377	20054
otu_44	2565	586	4213	1990	1343	2894
otu_45	5577	1547	187	20	36	22113
otu_46	2801	385	334	917	55	11006
otu_47	31	10	66	5	1	742
otu_48	31	1877	3184	313	16320	15584
otu_49	11455	6862	10636	14875	2828	5085
otu_50	278	76	510	580	170	434
otu_51	11	7	0	9	3932	0
otu_52	1486	244	12	41	0	3748
otu_54	7	0	3	9	1	25
otu_55	17821	445	2424	5952	1858	101327
otu_56	21	29	401	832	611	324
otu_57	0	268	0	16	20	0
otu_58	0	0	0	1	0	0
otu_59	437	20	13	12	6	48507
otu_60	141	98	616	164	48	19259
otu_61	13	79	254	70	41	61
otu_62	1932	1296	628	1012	1015	1004
otu_63	139	15	191	826	10915	15064
otu_64	104	98	115	6367	3666	2875
otu_65	400	79	25	1043	11	3629
otu_66	65241	92	0	3	19	117
otu_68	1040	2278	28	281	115	2381
otu_69	92	82	114	65	6582	360
otu_70	11622	917	4333	16413	4320	36744
otu_71	79	83	5628	313	64	129
otu_72	257	157	64716	401	4963	11315
otu_73	4469	2539	1564	61	24	17115
otu_74	137	16	7	354	15	160
otu_75	40831	41121	158	381297	13914	712
otu_76	66696	5119	9892	29616	1356	29271
otu_77	58	11	5966	243	29	113
otu_78	137	508	22242	208	1099	1826
otu_79	0	8	0	1	1	0
otu_80	31	344	26657	165	138	800
otu_81	2	0	0	0	0	0
otu_82	72310	3804	518	88622	63807	5772
otu_83	960	3563	133	469	48	1610
otu_84	16	49	6198	112262	55	237
otu_85	14012	46	8	17042	268	4008
otu_86	4877	251	12070	4814	3262	6366
otu_87	120296	27531	162	6600	828	14073
otu_88	132968	169964	3	2	56	87
otu_89	0	4	1	24	0	33
otu_90	113	2	1140	644	19	117
otu_91	59981	211	1290	3815	415	1166
otu_92	9736	111	731	4733	653	3510
otu_93	1	6	251	175	415	13
otu_94	3286	2621	13	142	30	335
otu_95	2	0	0	0	0	0
otu_96	14188	1207	2236	16069	2723	16337
otu_97	437	940	13	66	219	2317
otu_98	12814	3291	1145	5748	1915	1887
otu_99	4329	3735	1195	8268	974	3337
otu_100	3075	158	298	268	276	134
otu_101	0	64	0	101	3	15
otu_103	1716	219	2550	4294	2844	3858
otu_104	32	40	32	289	2247	4
otu_105	0	620	0	2	9	17
otu_106	2193	1577	394	2503	263	1392
otu_107	126	46	4	22	11	386
otu_108	0	24	1	0	8	5
otu_109	4	18	0	5	0	0
otu_110	1918	1333	291	5868	165	260
otu_111	5312	929	3945	3460	1904	125115
otu_112	9	2	28	61	60	75
otu_113	202	63	248	177	2987	7720
otu_114	0	12	0	6	0	0
otu_115	291	37	128	11	6	41
otu_116	0	5	0	0	0	2
otu_117	51	57	3	3	5	4
otu_118	0	0	0	1	0	0
otu_119	119	16	180	85	355	3135
otu_120	9796	4168	1962	1255	912	18600
otu_121	21	146	7464	76	422	337
otu_122	1348	134	46	16	1	6259
otu_123	8	4	22	0	107	0
otu_124	72	17	21	6288	1045	1132
otu_125	149	215	1381	693	588	13584
otu_126	467	18	211	280	88	2340
otu_127	26399	2662	819	2183	730	1817
otu_128	9	44	1146	49	61	35
otu_129	25	5	3	2	5	23
otu_130	2740	193	3	5	18	20
otu_131	15644	1761	597	63120	197	73490
otu_132	5	1	0	1	1	5
otu_134	14987	177	561	584	144	771
otu_135	17069	3380	643	22631	2101	1014
otu_136	48	22	49	246	37	11
otu_137	32	5	0	2	1	0
otu_138	11002	2660	1495	12205	1381	5522
otu_139	99062	4015	3938	33272	3796	8783
otu_140	2766	507	1345	1564	2371	24472
otu_141	10681	6130	1037	11487	8928	24675
otu_142	35	11	109	18	5	798
otu_143	37	748	1	153	12	1928
otu_144	0	4	0	0	0	0
otu_145	528	0	101	12	0	3552
otu_146	7	2	3	3	0	1
otu_147	7	55	0	8	4	3
otu_148	35	15	0	11	4	4640
otu_149	212	133	1621	24	123	7375
otu_150	530	28	182	1884	71	3273
otu_151	2	6	0	28	0	0
otu_152	1516	222	2111	2204	1388	1985
otu_153	71	9	42782	16412	6	170
otu_154	5606	990	180	4742	716	11242
otu_155	3	0	6	105	624	69
otu_156	5	0	1	0	0	0
otu_157	14806	5727	506	8336	597	3127
otu_158	0	0	0	1	1	204
otu_159	2318	607	162	1742	423	1070
otu_160	13	157	6448	56	2272	13249
otu_161	0	1	2	15	0	0
otu_162	4067	766	1072	5824	1505	3772
otu_163	17	64	0	1	0	2
otu_164	0	0	0	0	12	0
otu_165	10169	0	0	24	6	0
otu_166	2549	862	113	782	301	212
otu_167	6051	2	0	1	0	4
otu_168	8423	1868	1445	15967	1193	7236
otu_169	4	2	15	133	3	5
otu_170	1	2	0	7	0	70
otu_171	26960	411	2413	830	1337	4321
otu_172	461	10	427	92507	4	235
otu_173	6487	2035	1942	24721	6097	3565
otu_174	303	250	776	825	1087	1876
otu_175	31	336	7	11	13	112
otu_176	0	200	70	0	11	23
otu_177	7	5	2	15	1	58
otu_178	185	48	75	33	35	659
otu_179	247	31	25	442	68	95
otu_180	0	5	4	0	23	0
otu_181	0	18	0	1	0	0
otu_182	15	1	15	102	8	17
otu_183	57071	12908	88	4088	622	3086
otu_184	123	15	1	303	1	29
otu_186	1030	1956	888	2357	381	1698
otu_187	6	179	25091	145	4479	5793
otu_188	5	68	263	31	1926	27
otu_189	1240	132	85	2053	150	112
otu_190	477	1	2	3	4	12879
otu_191	5	10	11	160	3	27
