Alveolata	4180	335356	station121
Amoebozoa	  43	2913	station121
Apusozoa	   4	9	station121
Archaeplastida	 113	4517	station121
Excavata	 203	16071	station121
Hacrobia	 365	10210	station121
Opisthokonta	1149	1503503	station121
Picozoa	  13	2247	station121
Prokaryote	1195	83813	station121
Rhizaria	1055	333251	station121
Stramenopiles	 600	61158	station121
Unassigned	2719	43924	station121
Alveolata	9539	2155094	station126
Amoebozoa	  78	43084	station126
Apusozoa	   1	3	station126
Archaeplastida	 231	127598	station126
Eukaryota_X	   1	3	station126
Excavata	8868	223867	station126
Hacrobia	 425	45093	station126
Opisthokonta	1960	974609	station126
Picozoa	  13	4480	station126
Prokaryote	2589	279953	station126
Rhizaria	1349	468536	station126
Stramenopiles	1357	489111	station126
Unassigned	5366	119318	station126
Alveolata	5694	1480270	station45
Amoebozoa	  25	5260	station45
Apusozoa	   5	162	station45
Archaeplastida	 156	14145	station45
Excavata	 307	81855	station45
Hacrobia	 350	87815	station45
Opisthokonta	1811	2933847	station45
Picozoa	  25	26966	station45
Prokaryote	1409	595181	station45
Rhizaria	1627	4075657	station45
Stramenopiles	 555	294269	station45
Unassigned	4412	181850	station45
Alveolata	4641	3148456	station46
Amoebozoa	  37	13108	station46
Apusozoa	   8	108	station46
Archaeplastida	 220	123254	station46
Excavata	 694	371806	station46
Hacrobia	 334	198750	station46
Opisthokonta	1949	6036424	station46
Picozoa	  16	39016	station46
Prokaryote	2358	907228	station46
Rhizaria	1157	2586010	station46
Stramenopiles	 955	984114	station46
Unassigned	2940	952246	station46
Alveolata	2980	182083	station49
Amoebozoa	  52	12362	station49
Apusozoa	  13	107	station49
Archaeplastida	 223	25293	station49
Excavata	 346	9221	station49
Hacrobia	 314	17405	station49
Opisthokonta	1974	1045214	station49
Picozoa	   9	4053	station49
Prokaryote	2742	208907	station49
Rhizaria	 736	49434	station49
Stramenopiles	1157	119772	station49
Unassigned	2236	48589	station49
Alveolata	4174	318247	station50
Amoebozoa	  38	4243	station50
Apusozoa	   3	15	station50
Archaeplastida	  90	2113	station50
Excavata	 150	6537	station50
Hacrobia	 334	20624	station50
Opisthokonta	1027	1578637	station50
Picozoa	  13	3044	station50
Prokaryote	1145	110258	station50
Rhizaria	 921	599323	station50
Stramenopiles	 542	55018	station50
Unassigned	2095	44688	station50
