OTU	perc_identity
1	100
10	100
100	100
1000	100
100000	64.2
100001	94.5
10001	93.8
100012	80
100015	87.3
10002	94.5
100022	96.9
10003	100
100034	84.5
100039	92.2
10005	92.6
100050	85.2
100052	57.7
100056	95.4
10006	93.1
100062	52.9
100064	82.6
100073	93.8
10008	95
100093	91.5
100097	97.1
100099	57.9
1001	95.3
10010	88.8
100105	97.7
10011	70
100112	94.6
10012	96.2
100122	80.5
100124	95.3
10013	93.3
10014	96.9
100140	83.3
10015	98.4
100159	82.9
10016	93
100163	75
10017	95.9
100175	95.4
10018	86.1
100181	95.3
100187	89.2
100198	77.2
1002	99.2
100204	91.9
100205	94.8
100207	62
10022	91.3
10023	93.8
100231	94.6
100233	67.2
10024	92.2
100243	81.3
10025	89.1
100250	94.2
100252	95.3
10026	79.6
100268	96.2
10027	98.5
100279	72.1
10028	90.2
100283	77.3
100288	52.3
100292	87.3
10031	94.7
100324	85.7
100327	87.7
10033	90.1
100331	95.3
100336	83.7
10035	97.7
100354	97.7
100364	95.4
10038	80
100388	67.4
10039	90.6
100398	94.5
1004	92.5
10040	100
100407	89.2
100416	76.6
10042	84.3
100421	94.6
100423	89.1
100424	62.2
10043	86.2
10044	95.4
100440	95.4
100441	94.6
10046	97.7
10047	93.1
100488	93.8
10049	83.2
100496	81.1
1005	99.2
100504	89.8
100506	68.5
100510	54.3
100521	88
100526	90.9
10054	98.4
100551	94.7
100556	85.2
10056	60.2
100563	70
100568	95.3
100576	88.9
10058	70
100583	85
100591	95.4
100594	97.7
100598	85.4
1006	96.4
10060	93.3
100601	97
100607	83
10061	100
100619	91.7
100624	95.4
100640	94.6
100641	91.5
100647	86.5
10065	85.3
100658	92.3
10066	93.8
100668	94.5
10067	94.6
100678	64.9
10068	86.5
100682	87.2
10069	80.7
100694	63.6
1007	84.7
10070	88.4
10071	90.7
10072	87.6
100726	85.2
10073	91.5
100739	81.5
100759	81.5
10076	87.9
100760	70
100761	91
100763	90.4
100767	82.4
100769	94.5
10078	95.3
10079	85.4
1008	88.2
10080	98.1
100800	92.7
100821	76.1
100822	92.3
10083	94.4
100836	97.8
100837	94.5
100846	79.5
10085	94.6
100868	96.9
100872	83.5
100879	84.9
10088	79.2
10089	84.8
100894	96.1
1009	98.1
10090	85.2
100905	89.5
10091	53.3
100911	84
100918	93.4
10094	89.2
100944	97.7
100945	80.4
100946	61.7
100947	96.1
10095	97.7
100956	83.2
10096	81.1
100961	78.9
100973	90
10098	96.3
100981	100
100982	89.9
100983	87.4
10099	100
101	96.9
101000	88.3
101015	96.9
101029	90.1
10103	94.9
101038	96.1
101044	94.6
10105	85
101059	96.1
101066	79.2
101069	96.9
10107	97.8
101088	82.9
10109	97.8
1011	100
10110	86.6
101116	80.8
101118	96.9
101120	83.6
101123	92.5
10113	96.2
101130	95.3
10114	52.4
101148	66.4
10115	99.3
10116	97.7
101168	97
101176	63.9
10118	88.3
101187	72.4
101189	96.9
10119	79.6
101196	92.6
101198	97.6
1012	100
101207	67.7
10121	81
10122	82.6
101220	84.4
101222	69.6
101226	91.9
101228	95.3
101241	97.6
10125	93
101252	63.3
101263	70.2
101264	97.7
101271	91.4
101277	97.7
101284	90.1
10129	97
101300	97.7
101301	90
101308	90.1
101310	97.7
101319	82.4
10132	94.9
101326	89.1
101339	98.2
10134	87.3
10135	99.1
101354	94.5
10136	88.5
101369	96.1
101370	90.6
10138	96.9
101385	82.9
10139	99.2
101396	93.8
1014	100
10140	98.4
10141	89.3
101418	58.4
10144	94.6
101440	77.4
101441	92.2
10146	86.2
10148	94.6
101487	93.7
101488	98.5
101497	88
101498	89.8
1015	94.1
101516	62.1
101517	94
101524	86.8
101529	95.3
10153	93.8
10154	93.8
10155	98.5
101557	63
101563	86.8
10158	91.5
101582	93.4
101584	85.4
101593	85.3
101599	67.3
1016	100
10160	83.7
101601	93
101606	94.7
101618	65.2
101624	96.2
10163	71.5
101630	90.7
101632	96.9
101636	53.7
10164	87.7
101645	79.6
101649	96.9
10166	97.7
10167	93.8
101671	92.2
101680	88.3
10169	90
1017	100
10170	91
101700	86.7
101707	97.7
10172	65.4
101726	94.3
10173	98.4
101730	72.1
101732	87
101734	65.6
10174	91.3
101740	53.6
101741	83.2
10175	97.6
10176	92.3
101760	92.5
101765	83.6
101770	87.7
101771	79.2
101797	81.1
101799	75.8
1018	92.3
10180	87
101800	97.7
101802	77.4
10181	95
10182	84
101820	90.6
101844	94.6
101845	90.7
101846	84.7
10185	97.7
10186	96.7
101860	86.8
101869	82.3
10187	100
101876	80.7
10188	97.7
101880	59.5
10189	93.9
101890	70.2
101899	97.7
1019	96.9
10190	96.1
101903	52.8
101906	86.9
101907	97.7
10191	98.5
10192	93.8
101922	76.3
101930	58
101932	63.7
101937	67.2
10194	98.5
101940	99.2
101941	81.3
101946	85.7
101947	92.2
101948	85.2
10195	96.2
10196	96.2
101964	63
101965	97.7
101968	97.7
101969	84.7
10197	100
10198	74
10199	96.2
101991	95.4
101999	96.2
1020	88.8
10200	88.7
10201	93
10202	96.1
102027	91.4
10203	96.2
102033	54.5
102039	91.5
102044	65.8
102046	96.9
102048	72.1
102049	68.5
10205	98.4
102050	85.2
102051	97.7
102063	79.2
102065	94.6
102069	73.1
10207	95.4
10209	98.5
102094	89.5
10210	96.2
102100	87.9
102111	88.8
102114	97.7
102120	79.8
102129	86.9
102130	90.8
102134	95.5
102135	93.1
102148	93
10215	100
102155	67.5
102158	54.8
102186	91.7
10219	100
102197	95.3
1022	94.7
102200	97.7
10221	95
102210	95.7
102217	94.6
10222	94.9
102221	90.7
102223	96.1
102229	86.1
10224	94.8
102246	92.3
10225	94.9
102254	90.3
102259	94.5
10226	96.9
102269	78.5
10227	95.9
102273	95.1
102280	50
102289	96.9
102291	96.2
102296	71.8
1023	100
10230	86.8
102304	82.3
10231	95.3
102318	66.4
102323	93.8
10233	97.2
102337	96.9
102338	96.9
102341	96.9
10236	84.2
102365	83.2
102366	93.2
102374	91.6
102379	74.7
10238	91.3
102386	63.5
102389	92.2
10239	84.6
102392	76.5
102399	92.3
10240	91.7
102406	91.5
102418	94.5
10242	94.8
102420	93.8
102430	95.4
102437	96.9
10245	80.2
102455	92.2
102458	95.3
10247	93
102472	98.4
102475	96.9
10248	90.9
102485	74.8
102487	87.3
102493	96.2
1025	83.8
10250	96.9
102508	96.9
10251	93
10252	98.4
102523	92.4
102532	92.2
102533	93.2
102534	96.1
10254	84.1
10255	98.5
102550	98.3
102557	84.4
102558	96.9
10256	98.4
102565	93.2
10257	98.4
